"columns","rows","columnnames","rownames","correlation_vec","reg_coeff","reg_const","stat_sig","sample_size"
504,228,"alktype3","alknei3",0.243056825619297,0.35751541014699,0.72356567093409,0.0051527388824175,59501
159,284,"venner1","frafall1_1",0.249685574017198,0.397435897435897,1.96153846153846,0.00516337883935915,31773
319,390,"vennkont2","alvor3",-0.217409076963592,-0.202832918207663,2.44199562231111,0.00516709237194606,38510
362,393,"friluft10","hatytring4",-0.199746781335533,-0.386966824644549,5.05971563981042,0.00523238786769451,40020
556,595,"eat7","helsest3_6",-0.219756930839476,-0.597037037037039,3.23703703703704,0.00523589934311295,21578
334,480,"spillprob4","alkprob18",-0.25654400868307,-0.135454247294195,2.02951787471302,0.00523766140636081,40841
323,479,"spilltid2_1","alkprob17",0.251198447489391,0.179594186213844,0.162325514462512,0.00525598379462598,40883
543,594,"doping3_5","helsest3_5",-0.173456168384728,-0.373369320737741,0.817813765182186,0.00538849766541019,21557
290,654,"framtid6","piller2",-0.18525721491088,-1.11963470319633,3.43926940639266,0.00541450735096463,117578
208,502,"enernei2","alktype1",0.214414333967816,0.348951911220715,2.27065351418002,0.00553719963734072,55637
675,208,"påviven1","enernei2",0.317151574493456,0.154054054054054,2.29081081081081,0.00556373182763778,50338
611,568,"kultmnd3","forhfor10",-0.286446202274103,-0.359154929577464,2.59154929577465,0.0056368769694053,36007
640,380,"måltid8","samftil3",-0.195515890339412,-0.221125546273449,4.39105746648037,0.00564921816060451,65869
243,734,"ruskjør1","skolvansk7",0.211849756074762,0.11968085106383,3.34840425531914,0.00569117976584728,32349
480,324,"alkprob18","spilltid2_2",0.248923258588746,0.632251720747296,1.2566371681416,0.00569572422135971,147458
208,471,"enernei2","alkprob9",-0.158371240632785,-0.79973027646663,4.29939312204988,0.00573053529262153,26639
734,179,"skolvansk7","mestr4",0.261656849154782,0.326073030108904,3.27533632286995,0.0057587816698923,203401
534,252,"depr8_2010","narko1",-0.176943354807589,-0.430700094607379,3.58727530747397,0.00577742320766599,146560
405,207,"naken4","enernei1",0.243446119973153,0.141640042598509,1.20660276890309,0.00581573476148035,51271
522,376,"databruk3","poldelt2",-0.211716031208851,-1.37267080745341,5.94409937888198,0.00586981406504099,44531
493,375,"alkskaf2_3","poldelt1",0.301623077523818,0.230473751600513,1.49679897567222,0.00589022873466688,44662
360,394,"friluft8","hatytring5",-0.196655138209131,-0.246723207401697,4.84117193523515,0.00599094237205798,40027
208,505,"enernei2","alktype4",0.211729124442454,0.338435572110348,2.28064253288325,0.00601789496113769,55366
574,205,"framtid2","skolemat4",-0.337168748700389,-0.385964912280701,3.71390013495277,0.0060231312178323,37395
382,756,"samftil10","spilltid3_8",0.227788477459594,0.758333333333335,2.325,0.00603575136601162,141689
563,729,"forhfor5","skolvansk2",-0.251313735667054,-0.131078121197372,1.94709174981747,0.00604911057604205,23262
176,733,"mestr1","skolvansk6",0.257870864244749,0.16033376123235,2.51399229781772,0.00605071562741387,32422
338,209,"spillvikt1","enernei3",-0.150977376960765,-0.145002372340361,3.10648419158653,0.00615142476925788,48967
651,388,"nærmiljø3","alvor1",-0.189353419602573,-0.138406537282942,2.19497917812525,0.00615772089358402,38859
316,568,"nettkont3","forhfor10",0.202143722262411,0.178834808259587,1.07005899705015,0.00620799898493055,36007
554,592,"eat4","helsest3_3",-0.21522033327339,-0.719540229885058,2.98620689655172,0.00627402831322397,21578
393,357,"hatytring4","friluft5",-0.194954877146517,-0.0881270579120667,1.48498934727872,0.00644873889499671,58519
229,455,"alknei4","alko4",0.235442749368664,0.0994094488188981,1.36909448818898,0.00657539374976909,30359
288,493,"skolprob3","alkskaf2_3",-0.174096678653255,-0.281715306730198,1.67301965455628,0.00662655026236916,40513
202,290,"skolemat1","framtid6",0.252880257985769,0.266688616347025,3.81866820314429,0.0066368883847482,22278
622,115,"media3","skjermtid1",0.390507711468395,0.362835959221501,2.10240963855422,0.00665212672873067,610998
355,395,"friluft2","hatytring6",-0.193892346978141,-0.524197412553904,3.86224245328222,0.00675044043000468,39802
292,640,"framtid7","måltid8",-0.327771678446631,-0.106588334032732,1.53462022660512,0.00677559642100805,69481
369,217,"doping13","energru6",-0.218557095262343,-0.23890784982935,2.35539788036644,0.00682852393547337,53537
529,653,"depr3_2010","piller1",-0.174182625195081,-0.65909090909091,3.66818181818182,0.00682947596886067,117789
251,281,"hasjholdn1","skulktim1",0.19906345681983,0.17371786151544,1.78574343626718,0.00690233844992522,38312
534,222,"depr8_2010","rusfarl3",-0.172244511858193,-0.179935535858179,3.47953263497179,0.0069985106407347,129609
322,236,"vennkont5","alkomg4",-0.169972848629975,-0.198382053197281,3.62201065971211,0.00706707754306712,41590
525,692,"databruk7","samftil12",-0.225910108403234,-0.286199974096619,3.18980701981609,0.00706915779524512,43335
390,650,"alvor3","nærmiljø1",-0.186114640229221,-0.192894465512119,3.3942820194677,0.00711175684068023,182763
552,593,"eat2","helsest3_4",-0.212221018260389,-0.420536635706915,3.24509803921569,0.00724100967784702,21578
212,249,"enernei6","hasjpress2",-0.152291359526182,-1.30065359477125,4.93464052287585,0.00732165640023749,52047
375,500,"poldelt1","alkskaf2_10",0.297670278893794,0.886075949367091,0.113924050632907,0.00732663558931121,40261
771,493,"tenner1","alkskaf2_3",-0.171189846784887,-0.496242549883388,2.43741902047162,0.00735885590791471,40513
462,225,"alkpress3","alknei1",0.231527388560646,0.227272727272727,0.840909090909092,0.00755934275942078,59653
704,593,"sextrak7","helsest3_4",0.328394788714593,0.269607843137255,1.08333333333333,0.00756842398880529,21578
653,692,"piller1","samftil12",0.273777482143323,0.0428309198449928,0.910870895370182,0.00758342825792565,43335
287,750,"skolprob2","spilltid3_2",0.24763917911466,0.563811188811188,1.16346153846154,0.0076231740866786,141689
317,322,"nettmøte1","vennkont5",0.230386294471841,0.0940053393738368,1.29301836421002,0.00763377990239063,27678
210,185,"enernei4","søvn1",-0.153436401818325,-0.119659327130719,1.8924700801227,0.00765874310549417,86335
593,557,"helsest3_4","eat8",-0.211403819412195,-0.111921905958537,0.744647948581646,0.00766660411465068,34831
405,230,"naken4","alknei5",0.195747067071594,0.23870166174872,1.09706476160894,0.00774567603344082,59396
215,394,"energru3","hatytring5",-0.173202888224304,-0.274856385329208,3.07954043305347,0.00805717351948292,40027
375,499,"poldelt1","alkskaf2_9",0.290713184497911,0.302777777777779,1.29722222222222,0.0080588763902745,40374
680,611,"påviven6","kultmnd3",-0.274382825649434,-0.184486620299423,2.70729694683485,0.0081255457861326,20765
396,358,"hatytring7","friluft6",-0.188996619092073,-0.140749545518109,1.8205146133408,0.0081421634803201,58398
229,463,"alknei4","alkprob1",0.194970244170461,0.167788802267895,1.32016300496102,0.0081722985442543,34582
154,217,"oppdragelse1","energru6",-0.340884586302196,-0.262219666474986,2.51351351351351,0.00824168875936832,53537
253,399,"narko11","skolehels7",-0.208854309697228,-0.103082012885252,1.24934703116838,0.00824241539131266,30292
475,683,"alkprob13","påviven9",0.324882841852417,0.314744801512287,0.626654064272212,0.0082780848173354,39877
477,334,"alkprob15","spillprob4",-0.244048814644882,-0.305000000000001,1.68,0.00828899715638629,230328
320,315,"vennkont3","nettkont2",-0.230291161217624,-0.403331030777496,4.51945659682247,0.00839166967238719,91953
267,337,"skoletime5","spillprob7",0.212347855889148,0.43089430894309,1.90243902439024,0.00840924833035737,45182
524,386,"databruk6","samftil13",-0.221885524953651,-0.175494350282486,4.79625706214688,0.00841931038751917,44650
267,336,"skoletime5","spillprob6",0.211423443085385,0.724137931034486,1.27586206896551,0.00848481245437404,231373
183,244,"trygg3","ruskjør2",-0.19700871828177,-0.221848892117692,2.25971667272068,0.00858205011126974,223757
461,230,"alkpress2","alknei5",0.228695022735858,0.237199582027168,0.889237199582026,0.0086049551598262,59396
362,237,"friluft10","rusholdn11",0.205078921862282,0.304444444444449,4.25111111111112,0.00863706965796948,33768
315,388,"nettkont2","alvor1",-0.153685527917958,-0.12961044528194,2.5921999749942,0.00863913433946299,38859
324,477,"spilltid2_2","alkprob15",0.23775759257657,0.137370753323486,-0.0871491875923196,0.00864064636152144,40914
584,770,"fritid18","søvnprob8",0.251239537790712,0.121671525753159,0.896145124716553,0.00872139030837882,34799
396,212,"hatytring7","enernei6",-0.172209728040875,-0.0656934306569344,1.31247827598193,0.00872139902429484,47389
498,771,"alkskaf2_8","tenner1",-0.168196998436881,-0.087383728547099,1.95840429713087,0.0087495555940356,190966
388,318,"alvor1","vennkont1",-0.203487363387533,-0.195127304653205,4.41154521510096,0.00875547450416053,27785
306,375,"kultår8","poldelt1",-0.236279367847231,-0.33893557422969,1.86834733893558,0.00878954468559816,44662
680,476,"påviven6","alkprob14",0.319870888119619,0.414322250639386,1.71099744245524,0.00884031671790473,40984
531,654,"depr5_2010","piller2",-0.169312382483501,-0.702541106128554,3.73841554559044,0.00886557158577693,117578
381,641,"samftil4","måltid9",-0.187218997364081,-0.24884907926341,3.60338270616493,0.00894992319415397,69327
475,330,"alkprob13","spilltid2_8",0.235611470594625,0.623015873015874,1.30555555555556,0.00898798885702868,147458
306,290,"kultår8","framtid6",-0.219034139733167,-0.0601217656012185,1.19558599695587,0.00906743687577882,22278
376,200,"poldelt2","måltid13",-0.187636566054685,-0.0278519778817521,2.02113143343257,0.00915582713610136,33478
295,258,"fritid4","skole10",0.219390173222919,0.12810078599699,0.91549138747979,0.00920363651831559,68260
316,353,"nettkont3","someprob6",-0.226638464688462,-0.405392156862746,2.38578431372549,0.00923854172248199,47036
